"WOJ","POW","GMI","RODZ","NAZWA","NAZWA_DOD","STAN_NA"
2,,,,"DOLNOŚLĄSKIE","województwo",1.01.2019
2,1,,,"bolesławiecki","powiat",1.01.2019
2,1,1,1,"Bolesławiec","gmina miejska",1.01.2019
2,1,2,2,"Bolesławiec","gmina wiejska",1.01.2019
2,1,3,2,"Gromadka","gmina wiejska",1.01.2019
2,1,4,4,"Nowogrodziec","miasto",1.01.2019
2,1,4,5,"Nowogrodziec","obszar wiejski",1.01.2019
2,1,5,2,"Osiecznica","gmina wiejska",1.01.2019
2,1,6,2,"Warta Bolesławiecka","gmina wiejska",1.01.2019
2,2,,,"dzierżoniowski","powiat",1.01.2019
2,2,1,1,"Bielawa","gmina miejska",1.01.2019
2,2,2,1,"Dzierżoniów","gmina miejska",1.01.2019
2,2,3,4,"Pieszyce","miasto",1.01.2019
2,2,3,5,"Pieszyce","obszar wiejski",1.01.2019
2,2,4,1,"Piława Górna","gmina miejska",1.01.2019
2,2,5,2,"Dzierżoniów","gmina wiejska",1.01.2019
2,2,6,2,"Łagiewniki","gmina wiejska",1.01.2019
2,2,7,4,"Niemcza","miasto",1.01.2019
2,2,7,5,"Niemcza","obszar wiejski",1.01.2019
2,3,,,"głogowski","powiat",1.01.2019
2,3,1,1,"Głogów","gmina miejska",1.01.2019
2,3,2,2,"Głogów","gmina wiejska",1.01.2019
2,3,3,2,"Jerzmanowa","gmina wiejska",1.01.2019
2,3,4,2,"Kotla","gmina wiejska",1.01.2019
2,3,5,2,"Pęcław","gmina wiejska",1.01.2019
2,3,6,2,"Żukowice","gmina wiejska",1.01.2019
2,4,,,"górowski","powiat",1.01.2019
2,4,1,4,"Góra","miasto",1.01.2019
2,4,1,5,"Góra","obszar wiejski",1.01.2019
2,4,2,2,"Jemielno","gmina wiejska",1.01.2019
2,4,3,2,"Niechlów","gmina wiejska",1.01.2019
2,4,4,4,"Wąsosz","miasto",1.01.2019
2,4,4,5,"Wąsosz","obszar wiejski",1.01.2019
2,5,,,"jaworski","powiat",1.01.2019
2,5,1,1,"Jawor","gmina miejska",1.01.2019
2,5,2,4,"Bolków","miasto",1.01.2019
2,5,2,5,"Bolków","obszar wiejski",1.01.2019
2,5,3,2,"Męcinka","gmina wiejska",1.01.2019
2,5,4,2,"Mściwojów","gmina wiejska",1.01.2019
2,5,5,2,"Paszowice","gmina wiejska",1.01.2019
2,5,6,2,"Wądroże Wielkie","gmina wiejska",1.01.2019
2,6,,,"jeleniogórski","powiat",1.01.2019
2,6,1,1,"Karpacz","gmina miejska",1.01.2019
2,6,2,1,"Kowary","gmina miejska",1.01.2019
2,6,3,1,"Piechowice","gmina miejska",1.01.2019
2,6,4,1,"Szklarska Poręba","gmina miejska",1.01.2019
2,6,5,2,"Janowice Wielkie","gmina wiejska",1.01.2019
2,6,6,2,"Jeżów Sudecki","gmina wiejska",1.01.2019
2,6,7,2,"Mysłakowice","gmina wiejska",1.01.2019
2,6,8,2,"Podgórzyn","gmina wiejska",1.01.2019
2,6,9,2,"Stara Kamienica","gmina wiejska",1.01.2019
2,7,,,"kamiennogórski","powiat",1.01.2019
2,7,1,1,"Kamienna Góra","gmina miejska",1.01.2019
2,7,2,2,"Kamienna Góra","gmina wiejska",1.01.2019
2,7,3,4,"Lubawka","miasto",1.01.2019
2,7,3,5,"Lubawka","obszar wiejski",1.01.2019
2,7,4,2,"Marciszów","gmina wiejska",1.01.2019
2,8,,,"kłodzki","powiat",1.01.2019
2,8,1,1,"Duszniki-Zdrój","gmina miejska",1.01.2019
2,8,2,1,"Kłodzko","gmina miejska",1.01.2019
2,8,3,1,"Kudowa-Zdrój","gmina miejska",1.01.2019
2,8,4,1,"Nowa Ruda","gmina miejska",1.01.2019
2,8,5,1,"Polanica-Zdrój","gmina miejska",1.01.2019
2,8,6,4,"Bystrzyca Kłodzka","miasto",1.01.2019
2,8,6,5,"Bystrzyca Kłodzka","obszar wiejski",1.01.2019
2,8,7,2,"Kłodzko","gmina wiejska",1.01.2019
2,8,8,4,"Lądek-Zdrój","miasto",1.01.2019
2,8,8,5,"Lądek-Zdrój","obszar wiejski",1.01.2019
2,8,9,2,"Lewin Kłodzki","gmina wiejska",1.01.2019
2,8,10,4,"Międzylesie","miasto",1.01.2019
2,8,10,5,"Międzylesie","obszar wiejski",1.01.2019
2,8,11,2,"Nowa Ruda","gmina wiejska",1.01.2019
2,8,12,4,"Radków","miasto",1.01.2019
2,8,12,5,"Radków","obszar wiejski",1.01.2019
2,8,13,4,"Stronie Śląskie","miasto",1.01.2019
2,8,13,5,"Stronie Śląskie","obszar wiejski",1.01.2019
2,8,14,4,"Szczytna","miasto",1.01.2019
2,8,14,5,"Szczytna","obszar wiejski",1.01.2019
2,9,,,"legnicki","powiat",1.01.2019
2,9,1,1,"Chojnów","gmina miejska",1.01.2019
2,9,2,2,"Chojnów","gmina wiejska",1.01.2019
2,9,3,2,"Krotoszyce","gmina wiejska",1.01.2019
2,9,4,2,"Kunice","gmina wiejska",1.01.2019
2,9,5,2,"Legnickie Pole","gmina wiejska",1.01.2019
2,9,6,2,"Miłkowice","gmina wiejska",1.01.2019
2,9,7,4,"Prochowice","miasto",1.01.2019
2,9,7,5,"Prochowice","obszar wiejski",1.01.2019
2,9,8,2,"Ruja","gmina wiejska",1.01.2019
2,10,,,"lubański","powiat",1.01.2019
2,10,1,1,"Lubań","gmina miejska",1.01.2019
2,10,2,1,"Świeradów-Zdrój","gmina miejska",1.01.2019
2,10,3,4,"Leśna","miasto",1.01.2019
2,10,3,5,"Leśna","obszar wiejski",1.01.2019
2,10,4,2,"Lubań","gmina wiejska",1.01.2019
2,10,5,4,"Olszyna","miasto",1.01.2019
2,10,5,5,"Olszyna","obszar wiejski",1.01.2019
2,10,6,2,"Platerówka","gmina wiejska",1.01.2019
2,10,7,2,"Siekierczyn","gmina wiejska",1.01.2019
2,11,,,"lubiński","powiat",1.01.2019
2,11,1,1,"Lubin","gmina miejska",1.01.2019
2,11,2,2,"Lubin","gmina wiejska",1.01.2019
2,11,3,2,"Rudna","gmina wiejska",1.01.2019
2,11,4,4,"Ścinawa","miasto",1.01.2019
2,11,4,5,"Ścinawa","obszar wiejski",1.01.2019
2,12,,,"lwówecki","powiat",1.01.2019
2,12,1,4,"Gryfów Śląski","miasto",1.01.2019
2,12,1,5,"Gryfów Śląski","obszar wiejski",1.01.2019
2,12,2,4,"Lubomierz","miasto",1.01.2019
2,12,2,5,"Lubomierz","obszar wiejski",1.01.2019
2,12,3,4,"Lwówek Śląski","miasto",1.01.2019
2,12,3,5,"Lwówek Śląski","obszar wiejski",1.01.2019
